player,acpl_win,wins,acpl_loss,losses
Sigrud,26.1290801186944,19,36.4281345565749,10
orgsalsa,34.1323529411765,5,37.1596958174905,6
Obucheniye,20.0648967551622,8,37.6492146596859,5
FilP,30.3472222222222,13,37.7567567567568,5
crabbypat,16.2324929971989,10,38.2230483271376,7
malteof,25.3837209302326,7,38.479381443299,5
Aliquantus,30.278080697928,21,38.5801781737194,21
Alex_slow,25.888,18,38.8851351351351,6
OneKindKing,29.6072289156627,10,39.5681198910082,11
doganof,16.8323353293413,18,40.0525,9
Vacuum_Cleaner,26.9032549728752,30,40.1084337349398,9
wakeupspaceboy,30.079012345679,11,40.1444866920152,6
MrLegilimens,23.6940928270042,24,40.1668484187568,26
Quadriculado,24.3850267379679,6,40.2206896551724,5
iOnlyPractice,30.8040057224607,19,40.3154362416107,5
FInLIp,39.03300330033,5,40.3855421686747,8
dxdc,52.9298245614035,5,40.423197492163,7
CheapEndgameTricks,17.4748201438849,5,40.4285714285714,7
TeoKajLibroj,45.8474114441417,8,40.4608501118568,9
FirstnameLastname,34.481981981982,17,40.5070422535211,10
Patrick-66,30.5151785714286,30,41.2446043165468,33
Robert1462,25.1596638655462,9,41.3896551724138,6
GnarlyGoat,27.6734902763562,24,41.4310706787964,41
lemonworld,31.3015384615385,8,41.4389312977099,8
tommeketoch,31.7385057471264,8,41.4583333333333,5
Ajolote4,32.2121896162528,13,41.460396039604,7
bandessz,25.4793650793651,6,41.4695340501792,7
demonicringworm,19.68,17,41.4803625377644,11
s2004k1993,27.4514789828749,46,41.50623885918,43
jshholland,26.8676748582231,17,41.5169491525424,18
dahdah,28.6991150442478,13,41.7125,5
carc,26.0336322869955,12,41.9258474576271,13
SpeedCobra,24.4371546961326,32,41.9462365591398,7
victormanolo,36.0341085271318,17,41.9838709677419,8
MarionTinsley,39.3228346456693,6,42.0663900414938,6
Scrooge,23.1197080291971,17,42.0962025316456,9
Knoddel,18.8510928961749,19,42.1552511415525,21
jg2017,32.0234375,8,42.2967032967033,5
Fishmoro,30.3510466988728,14,42.4748427672956,6
covton,34.4652777777778,7,42.4986737400531,7
Anjablaserr,23.6627680311891,13,42.5820895522388,5
Toddle,27.0263157894737,7,42.7943925233645,5
lovlas,25.2071428571429,56,42.9323076923077,6
vgd123,32.29057187017,16,42.9619289340102,13
parrotz,24.5454545454546,16,42.9765258215963,7
david252525,33.2060301507538,30,43.0046388336647,32
morallygray,25.1049840933192,28,43.1732283464567,21
Shrekmated,26.7387096774194,8,43.2490706319703,7
Astronominoff,35.537037037037,5,43.3434065934066,7
epithetos,29.198717948718,5,43.4341085271318,5
CamLeslie,35.4294117647059,31,43.5313351498638,23
Golodion,30.1055456171735,17,43.607619047619,15
sahkal,27.950563204005,44,43.6506431956669,33
landmoose,29.6234817813765,12,43.6578313253012,12
EsolcNeveton,21.2458045409674,30,43.7066326530612,11
elixr,42.0549450549451,10,44.0467289719626,8
Tianmu,24.6976047904192,24,44.0843373493976,6
Tsetsen,29.1980198019802,5,44.0884955752212,7
Checkmatealot,23.8148148148148,10,44.0884955752212,7
klooth,24.0660146699267,15,44.1651651651652,8
harrison2,15.4925,11,44.170626349892,10
toddletales,24.0683760683761,11,44.2251655629139,6
Qudit,30.3168316831683,5,44.2608695652174,5
lewis9992001,34.4854368932039,8,44.4958217270195,8
narud,25.2233009708738,12,44.5822784810127,6
plasmacat,25.36568457539,15,44.7622739018088,12
Skims,30.3817097415507,13,44.7735042735043,14
Toppest,51.319018404908,5,44.850144092219,10
chill5555,28.857476635514,34,44.8614318706697,28
NarwhalePete,34.1947194719472,8,44.8811475409836,6
philgood84,26.1723163841808,7,44.9174560216509,17
god666,23.0721574344023,74,44.9449101796407,25
BloodyFox,34.1704035874439,6,45.0890973036342,19
bassoder,35.7404761904762,13,45.1232876712329,11
zoranabc,24.71581769437,11,45.1287128712871,8
Tepetepe,27.92,6,45.1322751322751,6
Wolf21,29.1482649842271,28,45.1684210526316,14
hsznet,32.0080321285141,8,45.1916666666667,15
