eco,name,pgn,uci,epd,gambit_name,eco_gambit_name
A00,Amar Gambit,1. Nh3 d5 2. g3 e5 3. f4 Bxh3 4. Bxh3 exf4,g1h3 d7d5 g2g3 e7e5 f2f4 c8h3 f1h3 e5f4,rn1qkbnr/ppp2ppp/8/3p4/5p2/6PB/PPPPP2P/RNBQK2R w KQkq -,Amar Gambit,A00 Amar Gambit
A00,Amar Opening: Gent Gambit,1. Nh3 d5 2. g3 e5 3. f4 Bxh3 4. Bxh3 exf4 5. O-O fxg3 6. hxg3,g1h3 d7d5 g2g3 e7e5 f2f4 c8h3 f1h3 e5f4 e1g1 f4g3 h2g3,rn1qkbnr/ppp2ppp/8/3p4/8/6PB/PPPPP3/RNBQ1RK1 b kq -,Gent Gambit,A00 Gent Gambit
A00,Amar Opening: Paris Gambit,1. Nh3 d5 2. g3 e5 3. f4,g1h3 d7d5 g2g3 e7e5 f2f4,rnbqkbnr/ppp2ppp/8/3pp3/5P2/6PN/PPPPP2P/RNBQKB1R b KQkq -,Paris Gambit,A00 Paris Gambit
A00,Anderssen's Opening: Polish Gambit,1. a3 a5 2. b4,a2a3 a7a5 b2b4,rnbqkbnr/1ppppppp/8/p7/1P6/P7/2PPPPPP/RNBQKBNR b KQkq -,Polish Gambit,A00 Polish Gambit
A00,Barnes Opening: Gedult Gambit,1. f3 d5 2. e4 g6 3. d4 dxe4 4. c3,f2f3 d7d5 e2e4 g7g6 d2d4 d5e4 c2c3,rnbqkbnr/ppp1pp1p/6p1/8/3Pp3/2P2P2/PP4PP/RNBQKBNR b KQkq -,Gedult Gambit,A00 Gedult Gambit
A00,Barnes Opening: Gedult Gambit,1. f3 f5 2. e4 fxe4 3. Nc3,f2f3 f7f5 e2e4 f5e4 b1c3,rnbqkbnr/ppppp1pp/8/8/4p3/2N2P2/PPPP2PP/R1BQKBNR b KQkq -,Gedult Gambit,A00 Gedult Gambit
A00,Clemenz Opening: Spike Lee Gambit,1. h3 h5 2. g4,h2h3 h7h5 g2g4,rnbqkbnr/ppppppp1/8/7p/6P1/7P/PPPPPP2/RNBQKBNR b KQkq -,Spike Lee Gambit,A00 Spike Lee Gambit
A00,Grob Opening: Alessi Gambit,1. g4 f5,g2g4 f7f5,rnbqkbnr/ppppp1pp/8/5p2/6P1/8/PPPPPP1P/RNBQKBNR w KQkq -,Alessi Gambit,A00 Alessi Gambit
A00,"Grob Opening: Double Grob, Coca-Cola Gambit",1. g4 g5 2. f4,g2g4 g7g5 f2f4,rnbqkbnr/pppppp1p/8/6p1/5PP1/8/PPPPP2P/RNBQKBNR b KQkq -,Coca-Cola Gambit,A00 Coca-Cola Gambit
A00,Grob Opening: Grob Gambit,1. g4 d5 2. Bg2,g2g4 d7d5 f1g2,rnbqkbnr/ppp1pppp/8/3p4/6P1/8/PPPPPPBP/RNBQK1NR b KQkq -,Grob Gambit,A00 Grob Gambit
A00,"Grob Opening: Grob Gambit, Basman Gambit",1. g4 d5 2. Bg2 h5 3. gxh5,g2g4 d7d5 f1g2 h7h5 g4h5,rnbqkbnr/ppp1ppp1/8/3p3P/8/8/PPPPPPBP/RNBQK1NR b KQkq -,Basman Gambit,A00 Basman Gambit
A00,"Grob Opening: Grob Gambit, Fritz Gambit",1. g4 d5 2. Bg2 Bxg4 3. c4,g2g4 d7d5 f1g2 c8g4 c2c4,rn1qkbnr/ppp1pppp/8/3p4/2P3b1/8/PP1PPPBP/RNBQK1NR b KQkq -,Fritz Gambit,A00 Fritz Gambit
A00,"Grob Opening: Grob Gambit, Fritz Gambit, Romford Countergambit",1. g4 d5 2. Bg2 Bxg4 3. c4 d4 4. Bxb7 Nd7 5. Bxa8 Qxa8,g2g4 d7d5 f1g2 c8g4 c2c4 d5d4 g2b7 b8d7 b7a8 d8a8,q3kbnr/p1pnpppp/8/8/2Pp2b1/8/PP1PPP1P/RNBQK1NR w KQk -,Romford Countergambit,A00 Romford Countergambit
A00,"Grob Opening: Grob Gambit, Keres Gambit",1. g4 d5 2. Bg2 e5 3. d4 exd4 4. c3,g2g4 d7d5 f1g2 e7e5 d2d4 e5d4 c2c3,rnbqkbnr/ppp2ppp/8/3p4/3p2P1/2P5/PP2PPBP/RNBQK1NR b KQkq -,Keres Gambit,A00 Keres Gambit
A00,"Grob Opening: Grob Gambit, Richter-Grob Gambit",1. g4 d5 2. Bg2 c6 3. c4 dxc4 4. b3,g2g4 d7d5 f1g2 c7c6 c2c4 d5c4 b2b3,rnbqkbnr/pp2pppp/2p5/8/2p3P1/1P6/P2PPPBP/RNBQK1NR b KQkq -,Richter-Grob Gambit,A00 Richter-Grob Gambit
A00,Grob Opening: Romford Countergambit,1. g4 d5 2. Bg2 Bxg4 3. c4 d4,g2g4 d7d5 f1g2 c8g4 c2c4 d5d4,rn1qkbnr/ppp1pppp/8/8/2Pp2b1/8/PP1PPPBP/RNBQK1NR w KQkq -,Romford Countergambit,A00 Romford Countergambit
A00,Grob Opening: Zilbermints Gambit,1. g4 d5 2. e4 dxe4 3. Nc3,g2g4 d7d5 e2e4 d5e4 b1c3,rnbqkbnr/ppp1pppp/8/8/4p1P1/2N5/PPPP1P1P/R1BQKBNR b KQkq -,Zilbermints Gambit,A00 Zilbermints Gambit
A00,"Grob Opening: Zilbermints Gambit, Schiller Defense",1. g4 d5 2. e4 dxe4 3. Nc3 h5,g2g4 d7d5 e2e4 d5e4 b1c3 h7h5,rnbqkbnr/ppp1ppp1/8/7p/4p1P1/2N5/PPPP1P1P/R1BQKBNR w KQkq -,Zilbermints Gambit,A00 Zilbermints Gambit
