season,round,board,white,rating_w,black,rating_b,result,winner,sched_time,team_w,team_b,gp_w,gp_b,team_res_w,team_res_b,match
13,1,1,ErinYu,2276,mn8,2264,½½,draw,07/04 00:00,Alekhine Think of Is Mate,‾\_(ツ)_/‾,4.5,1.5,win,loss,Alekhine Think of Is Mate vs ‾\_(ツ)_/‾
13,1,2,bufferunderrun,1983,GnarlyGoat,1949,10,black,07/05 11:30,‾\_(ツ)_/‾,Alekhine Think of Is Mate,1.5,4.5,loss,win,‾\_(ツ)_/‾ vs Alekhine Think of Is Mate
13,1,3,VicPez,1879,Lynnpv,1852,10,white,07/03 15:00,Alekhine Think of Is Mate,‾\_(ツ)_/‾,4.5,1.5,win,loss,Alekhine Think of Is Mate vs ‾\_(ツ)_/‾
13,1,4,Seb32,1719,TCGRIF,1737,10,black,07/06 00:01,‾\_(ツ)_/‾,Alekhine Think of Is Mate,1.5,4.5,loss,win,‾\_(ツ)_/‾ vs Alekhine Think of Is Mate
13,1,5,dose7781,1682,Tsatsa64,1661,01,black,07/06 15:00,Alekhine Think of Is Mate,‾\_(ツ)_/‾,4.5,1.5,win,loss,Alekhine Think of Is Mate vs ‾\_(ツ)_/‾
13,1,6,Zher0,1568,joecupojoe,1416,10,black,07/03 14:00,‾\_(ツ)_/‾,Alekhine Think of Is Mate,1.5,4.5,loss,win,‾\_(ツ)_/‾ vs Alekhine Think of Is Mate
13,1,1,FischyVishy,2205,rosagris,2085,10,white,07/07 11:00,Sac It and See,Pawn Stars,5.5,0.5,win,loss,Sac It and See vs Pawn Stars
13,1,2,InfernalJumble,1928,somethingpretentious,2019,10,black,07/08 19:00,Pawn Stars,Sac It and See,0.5,5.5,loss,win,Pawn Stars vs Sac It and See
13,1,3,SpiteKnight,1811,EmptySet2,1784,½½,draw,07/08 20:00,Sac It and See,Pawn Stars,5.5,0.5,win,loss,Sac It and See vs Pawn Stars
13,1,4,david-innes,1805,DracoxVitae,1771,10,black,07/08 21:00,Pawn Stars,Sac It and See,0.5,5.5,loss,win,Pawn Stars vs Sac It and See
13,1,5,lakinwecker,1708,greenkingwashere,1626,10,white,07/07 20:00,Sac It and See,Pawn Stars,5.5,0.5,win,loss,Sac It and See vs Pawn Stars
13,1,6,KaasHonijn,1417,Khidal,1606,10,black,07/04 18:00,Pawn Stars,Sac It and See,0.5,5.5,loss,win,Pawn Stars vs Sac It and See
13,1,1,twobe,2128,Woenzelaar,2064,01,black,07/02 13:30,Preparation H-File,Baked-a-Lasker,3,3,draw,draw,Preparation H-File vs Baked-a-Lasker
13,1,2,paolone,1998,Grzybozbur,2009,10,black,07/08 19:30,Baked-a-Lasker,Preparation H-File,3,3,draw,draw,Baked-a-Lasker vs Preparation H-File
13,1,3,JonathanCoffin,1908,Wolf21,1811,10,white,07/03 20:00,Preparation H-File,Baked-a-Lasker,3,3,draw,draw,Preparation H-File vs Baked-a-Lasker
13,1,4,avas_goridze,1858,notmyjob88,1708,10,black,07/07 22:00,Baked-a-Lasker,Preparation H-File,3,3,draw,draw,Baked-a-Lasker vs Preparation H-File
13,1,5,Showboater,1668,colwem,1677,01,black,07/08 19:30,Preparation H-File,Baked-a-Lasker,3,3,draw,draw,Preparation H-File vs Baked-a-Lasker
13,1,6,nategreene,1596,abneric,1279,01,white,07/05 14:00,Baked-a-Lasker,Preparation H-File,3,3,draw,draw,Baked-a-Lasker vs Preparation H-File
13,1,1,nimzovit,2111,Pushedpawn,2054,0F1X,forfeit/unplayed,07/07 07:30,poisoned chess,Yas-Sir,3,3,draw,draw,poisoned chess vs Yas-Sir
13,1,2,steili,1913,IzoRyu,1980,10,black,07/04 16:00,Yas-Sir,poisoned chess,3,3,draw,draw,Yas-Sir vs poisoned chess
13,1,3,TheRatRiverTrapper,1898,Juke_3,1837,½Z½Z,forfeit/unplayed,"",poisoned chess,Yas-Sir,3,3,draw,draw,poisoned chess vs Yas-Sir
13,1,4,GogoYubari,1794,rampichino,1792,½½,draw,07/05 19:00,Yas-Sir,poisoned chess,3,3,draw,draw,Yas-Sir vs poisoned chess
13,1,5,izzie26,1665,Luci_Bunny,1696,01,black,07/08 19:00,poisoned chess,Yas-Sir,3,3,draw,draw,poisoned chess vs Yas-Sir
13,1,6,Alkibiades1,1494,Kraaft,1544,1X0F,forfeit/unplayed,07/08 17:00,Yas-Sir,poisoned chess,3,3,draw,draw,Yas-Sir vs poisoned chess
13,1,1,eie24,2074,vgd123,2147,½½,draw,07/07 16:00,Castle Long And Prosper,Kings and Queens and Guillotines,1.5,4.5,loss,win,Castle Long And Prosper vs Kings and Queens and Guillotines
13,1,2,krispl,1916,checkmonk,1927,01,white,07/08 19:30,Kings and Queens and Guillotines,Castle Long And Prosper,4.5,1.5,win,loss,Kings and Queens and Guillotines vs Castle Long And Prosper
13,1,3,jitre,1856,GetAGripWhitby,1890,01,black,07/07 16:00,Castle Long And Prosper,Kings and Queens and Guillotines,1.5,4.5,loss,win,Castle Long And Prosper vs Kings and Queens and Guillotines
13,1,4,mekumcu,1751,Forhavu,1783,01,white,07/08 02:00,Kings and Queens and Guillotines,Castle Long And Prosper,4.5,1.5,win,loss,Kings and Queens and Guillotines vs Castle Long And Prosper
13,1,5,Litzr,1590,pauix,1660,01,black,07/07 16:00,Castle Long And Prosper,Kings and Queens and Guillotines,1.5,4.5,loss,win,Castle Long And Prosper vs Kings and Queens and Guillotines
13,1,6,benlonnqvist,1556,lez314,1538,10,black,07/05 17:00,Kings and Queens and Guillotines,Castle Long And Prosper,4.5,1.5,win,loss,Kings and Queens and Guillotines vs Castle Long And Prosper
13,1,1,LUKARAHTRATGNATBC,2228,mariuseg,2127,10,white,07/08 17:30,With Compensation,We Are Girl from Egypt,2.5,3.5,loss,win,With Compensation vs We Are Girl from Egypt
13,1,2,toni4127,1909,dauthdaert,1933,10,black,07/06 03:00,We Are Girl from Egypt,With Compensation,3.5,2.5,win,loss,We Are Girl from Egypt vs With Compensation
13,1,3,atil4,1867,Zimny_Toster,1884,01,black,07/08 09:00,With Compensation,We Are Girl from Egypt,2.5,3.5,loss,win,With Compensation vs We Are Girl from Egypt
13,1,4,MattyB,1796,blackleaf,1737,0F1X,forfeit/unplayed,07/06 23:00,We Are Girl from Egypt,With Compensation,3.5,2.5,win,loss,We Are Girl from Egypt vs With Compensation
13,1,5,CarlosMagnussen,1684,tworivers,1667,½½,draw,07/07 20:00,With Compensation,We Are Girl from Egypt,2.5,3.5,loss,win,With Compensation vs We Are Girl from Egypt
13,1,6,rhohit,1478,mixxanber,1478,01,white,07/08 14:00,We Are Girl from Egypt,With Compensation,3.5,2.5,win,loss,We Are Girl from Egypt vs With Compensation
13,1,1,Justlikemusic,2207,yago666,2063,10,white,07/04 20:00,Flying Mates,Team 16,4.5,1.5,win,loss,Flying Mates vs Team 16
13,1,2,TMaus,2006,vadsamoht,1915,10,black,07/05 19:00,Team 16,Flying Mates,1.5,4.5,loss,win,Team 16 vs Flying Mates
13,1,3,dctrip13,1897,JJPlayz,1802,1X0F,forfeit/unplayed,07/08 20:00,Flying Mates,Team 16,4.5,1.5,win,loss,Flying Mates vs Team 16
13,1,4,Rolihlahla,1809,MK91,1737,½½,draw,07/07 12:00,Team 16,Flying Mates,1.5,4.5,loss,win,Team 16 vs Flying Mates
13,1,5,FiveKnights,1713,MilsBees,1630,10,white,07/08 18:00,Flying Mates,Team 16,4.5,1.5,win,loss,Flying Mates vs Team 16
13,1,6,grantoldham,1579,Kalandra,1296,01,white,07/05 22:00,Team 16,Flying Mates,1.5,4.5,loss,win,Team 16 vs Flying Mates
13,1,1,Sonata2,2245,hicetnunc,2104,10,white,07/04 19:00,Release the Karjakin,Summer Pawns,3,3,draw,draw,Release the Karjakin vs Summer Pawns
13,1,2,isaypotato,1981,S3pp,1933,10,black,07/08 20:30,Summer Pawns,Release the Karjakin,3,3,draw,draw,Summer Pawns vs Release the Karjakin
13,1,3,rgpchesspe,1860,phantom567459,1834,10,white,07/05 01:00,Release the Karjakin,Summer Pawns,3,3,draw,draw,Release the Karjakin vs Summer Pawns
13,1,4,juped,1734,Scarff,1804,01,white,07/04 17:00,Summer Pawns,Release the Karjakin,3,3,draw,draw,Summer Pawns vs Release the Karjakin
13,1,5,Lukhas,1677,glbert,1679,01,black,07/04 18:00,Release the Karjakin,Summer Pawns,3,3,draw,draw,Release the Karjakin vs Summer Pawns
13,1,6,rsava,1400,Donkey-Kong16,1372,01,white,07/08 20:00,Summer Pawns,Release the Karjakin,3,3,draw,draw,Summer Pawns vs Release the Karjakin
13,1,1,badplayer_CM,2150,Ryune,2060,01,black,07/08 18:00,Blockaders,"To be, or not b2",1,5,loss,win,"Blockaders vs To be, or not b2"
13,1,2,roso97,1932,lenguyenthanh,1907,½½,draw,07/08 13:00,"To be, or not b2",Blockaders,5,1,win,loss,"To be, or not b2 vs Blockaders"
13,1,3,WO_Schrodinger,1890,Veryance,1871,01,black,07/04 02:00,Blockaders,"To be, or not b2",1,5,loss,win,"Blockaders vs To be, or not b2"
13,1,4,sgis,1785,RodrigoDiazdeVivar,1734,½½,draw,07/07 13:00,"To be, or not b2",Blockaders,5,1,win,loss,"To be, or not b2 vs Blockaders"
13,1,5,Tranzoo,1665,Napoleon_Solo,1699,01,black,07/08 14:00,Blockaders,"To be, or not b2",1,5,loss,win,"Blockaders vs To be, or not b2"
13,1,6,perdhapley,1567,phmalek,1406,01,white,07/03 20:30,"To be, or not b2",Blockaders,5,1,win,loss,"To be, or not b2 vs Blockaders"
13,1,1,ahmt92,2093,KFerapont,2052,01,black,07/07 12:00,Gang Of Dark Squares,Bend it like Larsen,3,3,draw,draw,Gang Of Dark Squares vs Bend it like Larsen
13,1,2,WhiteD4ath,1972,arbisto,1990,01,white,07/07 19:00,Bend it like Larsen,Gang Of Dark Squares,3,3,draw,draw,Bend it like Larsen vs Gang Of Dark Squares
13,1,3,FilP,1821,dinomoomoo,1818,10,white,07/06 13:00,Gang Of Dark Squares,Bend it like Larsen,3,3,draw,draw,Gang Of Dark Squares vs Bend it like Larsen
13,1,4,stefalyosha,1723,garfield1980,1774,10,black,07/07 16:00,Bend it like Larsen,Gang Of Dark Squares,3,3,draw,draw,Bend it like Larsen vs Gang Of Dark Squares
13,1,5,Brundd,1639,Drotciv,1646,10,white,07/04 15:00,Gang Of Dark Squares,Bend it like Larsen,3,3,draw,draw,Gang Of Dark Squares vs Bend it like Larsen
13,1,6,JuanSnow,1485,rliu347,1576,01,white,07/07 13:00,Bend it like Larsen,Gang Of Dark Squares,3,3,draw,draw,Bend it like Larsen vs Gang Of Dark Squares
13,1,1,lovlas,2473,chessryo,2111,1X0F,forfeit/unplayed,07/06 11:10,Mommy Drinks because you play the Dutch,Smashing Pawns,3,3,draw,draw,Mommy Drinks because you play the Dutch vs Smashing Pawns
13,1,2,PGSankar,1975,tuncaboylu,1921,10,black,07/06 12:00,Smashing Pawns,Mommy Drinks because you play the Dutch,3,3,draw,draw,Smashing Pawns vs Mommy Drinks because you play the Dutch
13,1,3,phild159,1872,stinsonite,1868,10,white,07/04 15:30,Mommy Drinks because you play the Dutch,Smashing Pawns,3,3,draw,draw,Mommy Drinks because you play the Dutch vs Smashing Pawns
13,1,4,Lethgo,1787,shetoo,1803,01,white,07/04 17:10,Smashing Pawns,Mommy Drinks because you play the Dutch,3,3,draw,draw,Smashing Pawns vs Mommy Drinks because you play the Dutch
13,1,5,gokuba,1662,fismoluni,1683,01,black,07/02 18:30,Mommy Drinks because you play the Dutch,Smashing Pawns,3,3,draw,draw,Mommy Drinks because you play the Dutch vs Smashing Pawns
13,1,6,jakeboxer,1379,Acer30,1371,01,white,07/06 00:00,Smashing Pawns,Mommy Drinks because you play the Dutch,3,3,draw,draw,Smashing Pawns vs Mommy Drinks because you play the Dutch
13,1,1,Jfayne,2206,Lelouch_Vi_Brittania,2163,½½,draw,07/02 18:30,pragnananananananana-batman!,"Don't think twice, it's alright",2.5,3.5,loss,win,"pragnananananananana-batman! vs Don't think twice, it's alright"
13,1,2,gcedw2001,1915,chennis,1922,1X0F,forfeit/unplayed,07/05 18:00,"Don't think twice, it's alright",pragnananananananana-batman!,3.5,2.5,win,loss,"Don't think twice, it's alright vs pragnananananananana-batman!"
13,1,3,LostEarthworm,1886,Seafoam,1808,10,white,07/07 22:00,pragnananananananana-batman!,"Don't think twice, it's alright",2.5,3.5,loss,win,"pragnananananananana-batman! vs Don't think twice, it's alright"
13,1,4,OutdoorTree,1718,Anarschi,1728,01,white,07/07 16:00,"Don't think twice, it's alright",pragnananananananana-batman!,3.5,2.5,win,loss,"Don't think twice, it's alright vs pragnananananananana-batman!"
13,1,5,RealRobbert,1691,dmavro,1715,01,black,07/02 19:00,pragnananananananana-batman!,"Don't think twice, it's alright",2.5,3.5,loss,win,"pragnananananananana-batman! vs Don't think twice, it's alright"
