team,mp,gp,rank,round
Sac It and See,2,5.5,1,1
"To be, or not b2",2,5,2,1
Alekhine Think of Is Mate,2,4.5,3,1
Flying Mates,2,4.5,4,1
Kings and Queens and Guillotines,2,4.5,5,1
"Don't think twice, it's alright",2,3.5,6,1
We Are Girl from Egypt,2,3.5,7,1
Baked-a-Lasker,1,3,8,1
Bend it like Larsen,1,3,9,1
Gang Of Dark Squares,1,3,10,1
Mommy Drinks because you play the Dutch,1,3,11,1
poisoned chess,1,3,12,1
Preparation H-File,1,3,13,1
Release the Karjakin,1,3,14,1
Schrödinger's Sacrifice,1,3,15,1
Smashing Pawns,1,3,16,1
Summer Pawns,1,3,17,1
This ain't a scene it is a goddamn pawn race,1,3,18,1
Yas-Sir,1,3,19,1
pragnananananananana-batman!,0,2.5,20,1
With Compensation,0,2.5,21,1
‾\_(ツ)_/‾,0,1.5,22,1
Castle Long And Prosper,0,1.5,23,1
Team 16,0,1.5,24,1
Blockaders,0,1,25,1
Pawn Stars,0,0.5,26,1
Sac It and See,4,9.5,1,2
Flying Mates,4,8,2,2
Kings and Queens and Guillotines,4,8,3,2
Release the Karjakin,3,8.5,4,2
Gang Of Dark Squares,3,8,5,2
Alekhine Think of Is Mate,3,7.5,6,2
Preparation H-File,3,7,7,2
Smashing Pawns,3,7,8,2
"Don't think twice, it's alright",3,6.5,9,2
"To be, or not b2",2,7.5,10,2
pragnananananananana-batman!,2,7,11,2
‾\_(ツ)_/‾,2,6,12,2
Baked-a-Lasker,2,6,13,2
Mommy Drinks because you play the Dutch,2,6,14,2
Castle Long And Prosper,2,5.5,15,2
We Are Girl from Egypt,2,5.5,16,2
With Compensation,2,5.5,17,2
poisoned chess,1,5.5,18,2
Schrödinger's Sacrifice,1,5,19,2
This ain't a scene it is a goddamn pawn race,1,5,20,2
Summer Pawns,1,4,21,2
Yas-Sir,1,4,22,2
Bend it like Larsen,1,3.5,23,2
Team 16,0,3.5,24,2
Blockaders,0,2.5,25,2
Pawn Stars,0,2,26,2
Sac It and See,6,13.5,1,3
Release the Karjakin,5,13,2,3
"Don't think twice, it's alright",5,10,3,3
pragnananananananana-batman!,4,11.5,4,3
Alekhine Think of Is Mate,4,10.5,5,3
Baked-a-Lasker,4,10,6,3
Kings and Queens and Guillotines,4,10,7,3
Mommy Drinks because you play the Dutch,4,10,8,3
